id,字库
int,string
id,key
1,毛泽东
2,周恩来
3,刘少奇
4,朱德
5,彭德怀
6,林彪
7,刘伯承
8,陈毅
9,贺龙
10,聂荣臻
11,徐向前
12,罗荣桓
13,叶剑英
14,李大钊
15,陈独秀
16,孙中山
17,孙文
18,孙逸仙
19,邓小平
20,陈云
21,江泽民
22,李鹏
23,朱镕基
24,李瑞环
25,尉健行
26,李岚清
27,胡锦涛
28,罗干
29,温家宝
30,吴邦国
31,曾庆红
32,贾庆林
33,黄菊
34,吴官正
35,李长春
36,吴仪
37,回良玉
38,曾培炎
39,周永康
40,曹刚川
41,唐家璇
42,华建敏
43,陈至立
44,陈良宇
45,张德江
46,张立昌
47,俞正声
48,刘云山
49,王岐山
50,张高丽
51,王乐泉
52,王刚
53,王兆国
54,刘淇
55,贺国强
56,郭伯雄
57,胡耀邦
58,王兆
59,李登辉
60,连战
61,陈水扁
62,宋楚瑜
63,吕秀莲
64,郁慕明
65,蒋介石
66,蒋中正
67,蒋经国
68,马英九
69,习近平
70,李克强
71,吴帮国
72,无帮国
73,无邦国
74,无帮过
75,瘟家宝
76,假庆林
77,甲庆林
78,假青林
79,离长春
80,习远平
81,袭近平
82,李磕墙
83,贺过墙
84,和锅枪
85,粥永康
86,轴永康
87,肘永康
88,周健康
89,粥健康
90,周小康
91,李肇星务
92,国务委员
93,国务院
94,中央委员
95,发改委
96,国家发展和改革委员会
97,发展和改革委员会
98,国家发展与改革委员会
99,发展与改革委员会
100,薄熙来
101,温家饱
102,温假饱
103,胡惊涛
104,习仲勋
105,华国锋
106,彭丽媛
107,新闻出版总署
108,新闻出版署
109,布什
110,布莱尔
111,小泉
112,纯一郎
113,萨马兰奇
114,安南
115,阿拉法特
116,普京
117,默克尔
118,克林顿
119,里根
120,尼克松
121,林肯
122,杜鲁门
123,赫鲁晓夫
124,列宁
125,斯大林
126,马克思
127,恩格斯
128,金正日
129,金日成
130,萨达姆
131,胡志明
132,西哈努克
133,希拉克
134,撒切尔
135,阿罗约
136,曼德拉
137,卡斯特罗
138,富兰克林
139,华盛顿
140,艾森豪威尔
141,拿破仑
142,亚历山大
143,路易
144,拉姆斯菲尔德
145,劳拉
146,鲍威尔
147,奥巴马
148,本拉登
149,奥马尔
150,柴玲
151,达赖喇嘛
152,江青
153,张春桥
154,姚文元
155,王洪文
156,东条英机
157,希特勒
158,墨索里尼
159,冈村秀树
160,冈村宁次
161,高丽朴
162,赵紫阳
163,王丹
164,沃尔开西
165,李洪志
166,李大师
167,赖昌星
168,马加爵
169,班禅
170,额尔德尼
171,山本五十六
172,阿扁
173,阿扁万岁
174,热那亚
175,热比娅
176,尖阁列岛
177,实际神
178,东方闪电
179,全能神
180,安倍晋三
181,金正恩
182,张学良
183,恐怖组织
184,买毒品
185,卖毒品
186,茉莉花
187,钓鱼岛
188,钓鱼岛不属于中国
189,突尼斯
190,gongchandang
191,西藏314事件
192,新疆7.5事件
193,新疆国
194,党中央
195,新闻管制
196,一边一国
197,两国论
198,分裂中国
199,革命
200,国内动态详情
201,回回
202,六四
203,六四运动
204,美国之音
205,密宗
206,民国
207,民进党
208,民运
209,民主
210,民主潮
211,摩门教
212,纳粹
213,南华早报
214,南蛮
215,明慧网
216,起义
217,亲民党
218,瘸腿帮
219,人民报
220,法轮功
221,法轮大法
222,打倒共产党
223,台独万岁
224,圣战
225,示威
226,台独
227,台独分子
228,台联
229,台湾民国
230,台湾岛国
231,台湾国
232,台湾独立
233,太子党
234,天安门事件
235,屠杀
236,新党
237,新疆独立
238,新疆分裂
239,疆独
240,西藏独立
241,西藏分裂
242,西藏国
243,藏独
244,藏青会
245,藏妇会
246,学潮
247,学运
248,一党专政
249,一中一台
250,两个中国
251,一贯道
252,游行
253,造反
254,真善忍
255,镇压
256,政变
257,政治
258,政治反对派
259,政治犯
260,中共
261,共产党
262,反党
263,反共
264,政府
265,民主党
266,中国之春
267,转法轮
268,自焚
269,共党
270,共匪
271,苏家屯
272,基地组织
273,塔利班
274,东亚病夫
275,支那
276,高治联
277,高自联
278,专政
279,专制
280,世界维吾尔大会
281,核工业基地
282,核武器
283,铀
284,原子弹
285,氢弹
286,导弹
287,核潜艇
288,大参考
289,小参考
290,国内动态清样
291,释迦牟尼
292,阿弥陀佛
293,多维
294,河殇
295,穆罕默德
296,耶和华
297,耶稣
298,伊斯兰
299,真主安拉
300,白莲教
301,天主教
302,基督教
303,东正教
304,大法
305,法轮
306,真理教
307,走向圆满
308,黄大仙
309,跳大神
